s1_8.jpg vs s2_4.jpg;[18, 18, 18, 18, 19, 20, 16, 17];
s1_8.jpg vs s1_1.jpg;[12, 15, 12, 15, 17, 19, 12, 14];
s1_8.jpg vs s2_0.jpg;[20, 26, 20, 26, 27, 29, 20, 23];
s1_8.jpg vs s2_8.jpg;[20, 21, 20, 21, 28, 29, 27, 29];
s1_8.jpg vs s1_5.jpg;[17, 18, 17, 18, 22, 23, 18, 17];
s1_8.jpg vs s1_14.jpg;[34, 37, 39, 37, 23, 28, 23, 24];
s1_8.jpg vs s3_1.jpg;[22, 26, 22, 26, 32, 32, 30, 33];
s1_8.jpg vs s1_0.jpg;[21, 26, 21, 26, 24, 27, 17, 21];
s1_8.jpg vs s1_12.jpg;[22, 26, 22, 26, 21, 23, 15, 20];
s1_8.jpg vs s2_12.jpg;[18, 21, 18, 21, 18, 21, 16, 17];
s1_8.jpg vs s1_10.jpg;[17, 17, 17, 17, 21, 24, 16, 17];
s1_8.jpg vs s1_7.jpg;[13, 15, 13, 15, 21, 23, 13, 17];
s1_8.jpg vs s2_14.jpg;[21, 26, 21, 26, 19, 21, 17, 21];
s1_8.jpg vs s2_3.jpg;[17, 18, 17, 18, 20, 24, 15, 18];
s1_8.jpg vs s2_5.jpg;[17, 20, 17, 20, 19, 21, 15, 21];
s1_8.jpg vs s2_9.jpg;[18, 17, 18, 17, 21, 24, 16, 17];
s1_8.jpg vs s2_13.jpg;[23, 24, 23, 24, 21, 26, 20, 24];
s1_8.jpg vs s1_4.jpg;[17, 20, 17, 20, 21, 25, 13, 18];
s1_8.jpg vs s2_6.jpg;[13, 15, 13, 15, 18, 22, 15, 19];
s1_8.jpg vs s1_2.jpg;[21, 26, 21, 26, 24, 27, 17, 21];
s1_8.jpg vs s1_3.jpg;[15, 16, 15, 16, 17, 20, 14, 17];
s1_8.jpg vs s1_11.jpg;[30, 36, 30, 36, 32, 31, 35, 30];
s1_8.jpg vs s2_10.jpg;[31, 35, 31, 35, 32, 29, 33, 29];
s1_8.jpg vs s3_2.jpg;[35, 31, 35, 31, 29, 28, 26, 26];
s1_8.jpg vs s2_1.jpg;[12, 15, 12, 15, 17, 19, 11, 14];
s1_8.jpg vs s2_15.jpg;[20, 25, 20, 25, 25, 24, 22, 19];
s1_8.jpg vs s2_7.jpg;[0, 0, 0, 0, 11, 15, 7, 12];1
s1_8.jpg vs s1_6.jpg;[18, 20, 18, 20, 21, 21, 14, 20];
s1_8.jpg vs s1_9.jpg;[23, 22, 23, 22, 28, 29, 27, 29];
s1_8.jpg vs s2_11.jpg;[25, 27, 25, 27, 23, 23, 23, 20];
s1_8.jpg vs s1_15.jpg;[22, 26, 22, 26, 21, 23, 15, 20];
s1_8.jpg vs s1_13.jpg;[23, 23, 23, 23, 22, 28, 22, 23];
s1_8.jpg vs s2_2.jpg;[15, 17, 15, 17, 21, 22, 15, 19];
s2_4.jpg vs s1_1.jpg;[10, 13, 10, 13, 12, 13, 10, 13];
s2_4.jpg vs s2_0.jpg;[18, 20, 18, 20, 20, 21, 20, 26];
s2_4.jpg vs s2_8.jpg;[22, 25, 22, 25, 23, 23, 23, 26];
